id,date,x_coord,y_coord,hired
10077,2013-03-01 22:56:14,18.0753326416016,59.3340301513672,t
10009,2013-03-01 22:55:57,17.9721164703369,59.3340301513672,f
10095,2013-03-05 15:09:23,18.1615161895752,59.3110313415527,t
10075,2013-03-01 22:55:56,18.0623664855957,59.3439292907715,t
10090,2013-03-01 22:55:59,18.0565204620361,59.338623046875,t
10010,2013-03-01 22:56:09,18.050163269043,59.3172760009766,f
10172,2013-03-01 22:56:08,18.039867401123,59.3294372558594,f
10004,2013-03-05 15:07:39,17.9755477905273,59.401008605957,t
10184,2013-03-08 18:09:17,18.0740623474121,59.3377952575684,f
10121,2013-03-01 22:56:09,18.0957984924316,59.3318786621094,t
10111,2013-03-01 22:55:53,18.0975151062012,59.325023651123,t
10078,2013-03-01 22:55:17,18.0712013244629,59.2987632751465,t
10101,2013-03-01 22:55:36,18.039041519165,59.354118347168,t
10063,2013-03-08 18:09:53,17.9309310913086,59.3748588562012,t
10147,2013-03-05 15:08:55,18.155668258667,59.3468360900879,t
10039,2013-03-01 22:57:06,17.9075412750244,59.5393486022949,t
10065,2013-03-08 18:09:01,17.9859085083008,59.3582458496094,t
10047,2013-03-01 22:56:34,18.0650997161865,59.3254547119141,t
10176,2013-03-05 15:09:26,18.0418376922607,59.3375473022461,t
10168,2013-03-01 22:56:49,17.9140872955322,59.4561882019043,f
10076,2013-03-01 22:57:19,18.0548686981201,59.344898223877,f
10123,2013-03-05 15:09:28,18.014762878418,59.365062713623,f
10043,2013-03-05 15:08:42,18.0294456481934,59.4000053405762,f
10177,2013-03-05 15:08:46,17.8364200592041,59.3865165710449,f
10172,2013-03-05 15:09:46,17.8997230529785,59.5852355957031,f
10189,2013-03-01 22:57:19,17.8604469299316,59.3664970397949,t
10195,2013-03-01 22:57:07,18.0049743652344,59.3244132995605,f
10117,2013-03-01 22:57:03,18.0545501708984,59.4679183959961,t
10185,2013-03-01 22:56:54,18.0591259002686,59.3401298522949,t
10193,2013-03-01 22:57:24,18.2494163513184,59.2366638183594,f
10059,2013-03-01 22:57:13,18.1211585998535,59.3137245178223,t
10135,2013-03-08 18:09:42,18.0889987945557,59.2859191894531,t
10182,2013-03-01 22:56:58,17.9844455718994,59.2877502441406,f
10105,2013-03-01 22:57:27,17.9333457946777,59.6447868347168,f
10187,2013-03-01 22:57:13,18.0804805755615,59.2993011474609,t
10128,2013-03-01 22:57:15,17.9221591949463,59.3498497009277,f
10126,2013-03-01 22:56:59,18.0562019348145,59.3004150390625,t
10038,2013-03-08 18:09:08,17.9243202209473,59.5068092346191,f
10002,2013-03-01 22:56:52,17.8978176116943,59.5897521972656,f
10200,2013-03-01 22:56:56,17.96315574646,59.4443473815918,t
10138,2013-03-01 22:56:58,18.0922393798828,59.2782402038574,t
10206,2013-03-01 22:56:53,17.999382019043,59.2783851623535,t
10209,2013-03-01 22:57:00,18.0385971069336,59.3272132873535,t
10202,2013-03-01 22:57:10,18.1256694793701,59.3648452758789,f
10118,2013-03-01 22:56:48,18.0268383026123,59.4003982543945,f
10151,2013-03-05 15:09:24,17.8994693756104,59.5734672546387,t
10023,2013-03-01 22:56:37,17.9883861541748,59.3939437866211,t
10111,2013-03-05 15:09:48,18.0611591339111,59.3452224731445,f
10078,2013-03-05 15:09:12,17.9177112579346,59.4755249023438,t
10048,2013-03-01 22:57:28,18.0682144165039,59.3300476074219,f
10101,2013-03-05 15:08:49,18.0572185516357,59.3308715820312,f
10005,2013-03-01 22:57:22,18.0466690063477,59.3169174194336,t
10015,2013-03-05 15:09:29,18.0477485656738,59.346118927002,t
10065,2013-03-01 22:57:12,17.8987712860107,59.6027755737305,f
10155,2013-03-01 22:56:38,18.0102500915527,59.3415641784668,f
10175,2013-03-01 22:56:30,18.0492115020752,59.3420295715332,f
10135,2013-03-01 22:56:27,18.0720920562744,59.2832641601562,f
10070,2013-03-05 15:10:09,17.9193649291992,59.4901275634766,f
10097,2013-03-01 22:56:54,18.0586185455322,59.3407020568848,t
10098,2013-03-08 18:09:03,18.0676422119141,59.3217239379883,t
10130,2013-03-01 22:56:35,18.0361175537109,59.4358100891113,t
10141,2013-03-01 22:57:16,18.0691032409668,59.3298683166504,t
10098,2013-03-01 22:57:00,18.156177520752,59.2256851196289,t
10062,2013-03-01 22:56:38,18.077112197876,59.5357971191406,f
10131,2013-03-01 22:57:23,17.9193000793457,59.5320281982422,t
10062,2013-03-08 18:09:34,18.1362209320068,59.4559020996094,f
10188,2013-03-05 15:10:07,17.9009952545166,59.5472068786621,t
10181,2013-03-05 15:09:59,18.1681900024414,59.3118934631348,t
10016,2013-03-01 22:57:09,18.0639553070068,59.3302268981934,f
10159,2013-03-01 22:57:01,17.9822845458984,59.396240234375,t
10160,2013-03-01 22:57:15,17.9007415771484,59.5769805908203,f
10079,2013-03-05 15:09:59,18.050609588623,59.3492393493652,f
10064,2013-03-01 22:57:24,18.0839767456055,59.2958946228027,f
10164,2013-03-01 22:56:49,17.9175834655762,59.6260986328125,f
